Tên sản phẩm,Giá sản phẩm,Kích thước màn hình,Ram,Bộ nhớ trong,CPU,Camera sau,Camera trước,Pin,Độ phân giải màn hình,Bluetooth,Link,Loại sản phẩm,Tên cửa hàng
            iPhone 12 64GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 Pro Max 128GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-pro-max?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 Pro Max 512GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-pro-max-512gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 Pro 512GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-pro-512gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 Pro Max 256GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-pro-max-256gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 Pro 256GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-pro-256gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 Pro 128GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-pro?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 256GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-256gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 128GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-128gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 mini 256GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-mini-256gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 11 256GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-11-256gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 11 128GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-11-128gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 mini 128GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-mini-128gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 12 mini 64GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-12-mini?src=osp,IPHONE,THE GIOI DI DONG
            iPhone 11 64GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-11?src=osp,IPHONE,THE GIOI DI DONG
            iPhone Xr 128GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-xr-128gb?src=osp,IPHONE,THE GIOI DI DONG
            iPhone SE 256GB (2020)        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-se-256gb-2020?src=osp,IPHONE,THE GIOI DI DONG
            iPhone SE 128GB (2020)        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-se-128gb-2020?src=osp,IPHONE,THE GIOI DI DONG
            iPhone SE 128GB (2020) (Hộp mới)        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-se-128gb-2020-hop-moi?src=osp,IPHONE,THE GIOI DI DONG
            iPhone XR 64GB        ,None,,,,,,,,,,https://www.thegioididong.com//dtdd/iphone-xr?src=osp,IPHONE,THE GIOI DI DONG
