Tên sản phẩm,Giá sản phẩm,Link,Bộ nhớ trong,Camera chính,Camera phụ,CPU,Độ phân giải màn hình,Pin,Kích thước màn hình,Bluetooth,Ram,Loại sản phẩm,Cửa hàng
Apple iPhone 12 Mini Tím VN/A Fullbox,"17,990,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-mini-tim-vn-a-fullbox/,"128GB, 256 GB, 64 GB","12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 Tím VN/A Fullbox,"22,490,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-vn-a-fullbox/,"128GB, 256 GB, 64 GB","12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 64GB Quốc Tế Mới Trần,"19,990,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-quoc-te-moi-tran/,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 64GB Quốc Tế 2Sim Fullbox ZA,"21,190,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-quoc-te-2sim-fullbox-za/,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 64GB Quốc Tế Fullbox LL/A,"19,990,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-quoc-te-fullbox-ll-a/,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 64GB Chính Hãng VN/A Fullbox,"20,190,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-chinh-hang-vn-a-fullbox/,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 Lock 64GB Mới FullBox,"16,890,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-lock-64gb-moi-fullbox/,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 128GB Quốc tế Mới Trần,"19,790,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-quoc-te-moi-tran/,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 128GB Quốc Tế Fullbox LL/A,"21,590,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-quoc-te-fullbox-ll-a/,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
Apple iPhone 12 128GB Chính Hãng VN/A,"21,090,000 VNĐ",https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-chinh-hang-vn-a/,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,6.1 inches,,,IPHONE,CLICK_BUY
