Tên sản phẩm,Giá sản phẩm,màn hình,Kích thước màn hình,Thời gian sử dụng,Hệ điều hành,Ngôn ngữ,Link,Thể loại sản phẩm,Cửa hàng
Apple Watch Series 6 40mm GPS ,8.790.000 VNĐ,"Retina LTPO OLED, 1000 nits",1.57 inches,Up to 18 h (mixed usage),watchOS 7.0 - chip Apple S6,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/dong-ho-apple-watch-series-6-aluminum-ban-nhom-p409.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 5 LTE 44mm Nhôm Cũ 99% ,7.490.000 VNĐ,OLED,1.78 inch,36 tiếng,watchOS 6.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-5-44mm-nhom-cu-99-p249.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 5 LTE 40mm Nhôm Cũ 99% ,7.390.000 VNĐ,OLED,1.57 inch,36 tiếng,watchOS 6.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-5-40mm-nhom-cu-99-p247.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 5 GPS 44mm Nhôm cũ,7.390.000 VNĐ,OLED,1.57 inch,36 tiếng,watchOS 6.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-5-gps-44mm-nhom-cu-p530.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 5 GPS 40mm Nhôm cũ,6.790.000 VNĐ,OLED,1.57 inch,36 tiếng,watchOS 6.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-5-gps-40mm-nhom-cu-p527.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 5 LTE 44mm Thép Cũ 99%,11.490.000 VNĐ,OLED,1.78 inch,36 tiếng,watchOS 6.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-5-44mm-thep-cu-99-p248.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 5 LTE 40mm Thép Cũ ,10.890.000 VNĐ,OLED,1.78 inch,36 tiếng,watchOS 6.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-5-40mm-thep-cu-p529.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 4 LTE 44mm Nhôm Cũ 99%   ,6.690.000 VNĐ,AMOLED,2.2 inch,18 tiếng,watchOS 5.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-4-44mm-nhom-cu-99-1-p246.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 4 LTE 40mm Nhôm Cũ 99%  ,6.190.000 VNĐ,AMOLED,2.0 inch,18 tiếng,watchOS 5.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-4-40mm-nhom-cu-99-1-p245.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 4 GPS 44mm Nhôm Cũ 99%,6.290.000 VNĐ,AMOLED,2.2 inch,18 tiếng,watchOS 5.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-4-44mm-nhom-cu-99-p244.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 4 GPS 40mm Nhôm Cũ 99%  ,5.790.000 VNĐ,AMOLED,2.0 inch,18 tiếng,watchOS 5.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-4-40mm-nhom-cu-99-p243.html,APPLE WATCH,DIEN THOAI MOI
Apple Watch Series 4 LTE 44mm Thép cũ,7.890.000 VNĐ,AMOLED,2.2 inch,18 tiếng,watchOS 5.0,"Tiếng Việt, Tiếng Anh",https://dienthoaimoi.vn/apple-watch-series-4-44mm-thep-cu-p395.html,APPLE WATCH,DIEN THOAI MOI
