Tên sản phẩm,Giá sản phẩm,Kích thước màn hình,Độ phân giải màn hình,Ram,Bộ nhớ trong,CPU,Camera sau,Camera trước,Pin,Bluetooth,Link,Thể loại sản phẩm,Cửa hàng
iPhone 12 Pro Max 512GB,33.890.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,512GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max/iphone-12-pro-max-512gb-p5421,IPHONE,24h STORE
iPhone 12 Pro 512GB,30.990.000 VNĐ,"6.1inches,90.2cm2","1170x2532pixels,19.5:9",6GB,512GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.0",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro/iphone-12-pro-512gb-p5419,IPHONE,24h STORE
iPhone 11 Pro Max 256GB,24.490.000 VNĐ,6.5inch,2688x1242,4GB,256GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max/iphone-11-pro-max-256gb-p4305,IPHONE,24h STORE
iPhone 12 Pro Max 256GB,28.590.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,256GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max/iphone-12-pro-max-256gb-p5420,IPHONE,24h STORE
iPhone 12 Pro 256GB,26.790.000 VNĐ,"6.1inches,90.2cm2","1170x2532pixels,19.5:9",6GB,256GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.0",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro/iphone-12-pro-256gb-p5418,IPHONE,24h STORE
iPhone 12 Pro Max 128GB,26.390.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,128GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max/iphone-12-pro-max-p5141,IPHONE,24h STORE
iPhone 12 Pro 128GB,24.390.000 VNĐ,"6.1inches,90.2cm2","1170x2532pixels,19.5:9",6GB,128GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.0",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro/iphone-12-pro-p5140,IPHONE,24h STORE
iPhone 11 Pro Max Hàng Công Ty,30.299.000 VNĐ,,,,,,,,,,https://24hstore.vn/iphone-11-pro-max/iphone-11-pro-max-hang-cong-ty-p5596,IPHONE,24h STORE
iPhone 11 Pro Max 512GB,29.990.000 VNĐ,6.5inch,FullHD+(1080x2340Pixels),4GB,512GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max/iphone-11-pro-max-512gb-p4308,IPHONE,24h STORE
iPhone 12 256GB,22.990.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,256GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12/iphone-12-256gb-p5414,IPHONE,24h STORE
iPhone 12 Pro Max 256GB Cũ,27.390.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,256GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max-cu/iphone-12-pro-max-256gb-cu-p5680,IPHONE,24h STORE
iPhone 12 128GB,20.890.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,128GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12/iphone-12-128gb-p5413,IPHONE,24h STORE
iPhone 11 Pro 512GB Cũ,25.990.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,512GB,A13Bionic,"3Camera(12MP+12MP+16MP),gócrộng,tele,gócsiêurộng",12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-512gb-cu-p4658,IPHONE,24h STORE
