Tên sản phẩm,Giá sản phẩm,CPU,Ram,Bộ nhớ trong,Kích thước màn hình,Độ phân giải màn hình,Camera sau,Camera trước,Pin,Bluetooth,Link,Thể loại sản phẩm,Cửa hàng
Điện thoại iPhone 12 Pro 256GB Xanh,30.990.000 VNĐ, Apple A14 Bionic , 6 GB , 256 GB ," 6.1 "" ",," 12 MP, 12 MP, 12 MP ", 12 MP ,,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-256gb-xanh.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 Pro 256GB Xám,30.990.000 VNĐ, Apple A14 Bionic , 6 GB , 256 GB ," 6.1 "" ",," 12 MP, 12 MP, 12 MP ", 12 MP ,,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-256gb-xam.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 Pro 128GB Xanh,27.990.000 VNĐ, Apple A14 Bionic , 6 GB , 128 GB ," 6.1 "" ",," 12 MP, 12 MP, 12 MP ", 12 MP ,,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-128gb-xanh.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 64GB Đỏ,20.990.000 VNĐ, Apple A14 Bionic , 4 GB , 64 GB ," 6.1 inch "" ", 2532 x 1170 pixels , 12 MP (kép) , 12MP ,, Bluetooth 5.0  ,https://www.nguyenkim.com/dien-thoai-iphone-12-64gb-do.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 Pro 256GB Vàng,30.990.000 VNĐ, Apple A14 Bionic , 6 GB , 256 GB ," 6.1 "" ",," 12 MP, 12 MP, 12 MP ", 12 MP ,,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-256gb-vang.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 Mini 64GB Xanh dương,17.290.000 VNĐ, Apple A14 Bionic , 4 GB , 64 GB ," 5.4 "" ", 2340 x 1080 pixels , 12 MP (kép) , 12 MP ,, Bluetooth 5.0 ,https://www.nguyenkim.com/dien-thoai-iphone-12-mini-64gb-xanh-duong.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 64GB Đen,20.990.000 VNĐ, Apple A14 Bionic , 4 GB , 64 GB ," 6.1 inch "" ", 2532 x 1170 pixels , 12 MP (kép) , 12MP ,, Bluetooth 5.0  ,https://www.nguyenkim.com/dien-thoai-iphone-12-64gb-den.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 Pro Max 128GB Xám,30.490.000 VNĐ, Apple A14 Bionic , 6 GB , 128 GB ," 6.7 "" ",," 12 MP, 12 MP, 12 MP ", 12 MP ,,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-max-128gb-xam.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 Pro Max 128GB Xanh,30.490.000 VNĐ, Apple A14 Bionic , 6 GB , 128 GB ," 6.7 "" ",," 12 MP, 12 MP, 12 MP ", 12 MP ,,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-max-128gb-xanh.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 128GB Đen,22.490.000 VNĐ, Apple A14 Bionic , 4 GB , 128 GB ," 6.1 inch "" ", 2532 x 1170 pixels , 12 MP (kép) , 12 MP ,, Bluetooth 5.0  ,https://www.nguyenkim.com/dien-thoai-iphone-12-128gb-den.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 64GB Xanh dương,20.990.000 VNĐ, Apple A14 Bionic , 4 GB , 64 GB ," 6.1 inch "" ", 2532 x 1170 pixels , 12 MP (kép) , 12MP ,, Bluetooth 5.0  ,https://www.nguyenkim.com/dien-thoai-iphone-12-64gb-xanh-duong.html,IPHONE,NGUYEN KIM
Điện thoại iPhone 12 128GB Đỏ,22.490.000 VNĐ, Apple A14 Bionic , 4 GB , 128 GB ," 6.1 inch "" ", 2532 x 1170 pixels , 12 MP (kép) , 12 MP ,, Bluetooth 5.0 ,https://www.nguyenkim.com/dien-thoai-iphone-12-128gb-do.html,IPHONE,NGUYEN KIM
