Tên sản phẩm,Giá sản phẩm,Bộ nhớ trong,Độ phân giải màm hình,Kích thước mnaf hình,Camera sau,Camera trước,CPU,RAM,Pin,Link,Thể loại sản phẩm,Cửa hàng
iPhone 12 Pro 128GB Chính Hãng (VN/A),"26,450,000 VNĐ",128 GB,1170 x 2532 pixels,6.1 inches,,,,,,https://www.truesmart.com.vn/iphone-12-pro/iphone-12-pro-128gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 Pro Max 512GB Chính Hãng (VN/A),"32,650,000 VNĐ",512 GB,1284 x 2778 pixels,6.7 inches,,,,,,https://www.truesmart.com.vn/iphone-12-pro-max/iphone-12-pro-max-512gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 Pro Max 256GB Chính Hãng (VN/A),"31,650,000 VNĐ",256 GB,1284 x 2778 pixels,6.7 inches,,,,,,https://www.truesmart.com.vn/iphone-12-pro-max/iphone-12-pro-max-256gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 Pro Max 128GB Chính Hãng (VN/A),"28,850,000 VNĐ",128 GB,1284 x 2778 pixels,6.7 inches,,,,,,https://www.truesmart.com.vn/iphone-12-pro-max/iphone-12-pro-max-128gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 Pro 512GB Chính Hãng (VN/A),"29,450,000 VNĐ",256 GB,1170 x 2532 pixels,6.1 inches,,,,,,https://www.truesmart.com.vn/iphone-12-pro/iphone-12-pro-512gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 Pro 256GB Chính Hãng (VN/A),"28,450,000 VNĐ",256 GB,1170 x 2532 pixels,6.1 inches,,,,,,https://www.truesmart.com.vn/iphone-12-pro/iphone-12-pro-256gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 Mini 256GB Chính Hãng (VN/A),"19,250,000 VNĐ",256 GB,1080 x 2340 pixels,5.4 inches,,,,,,https://www.truesmart.com.vn/iphone-12-mini/iphone-12-mini-256gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 Mini 128GB Chính Hãng (VN/A),"18,250,000 VNĐ",128 GB,1080 x 2340 pixels,5.4 inches,,,,,,https://www.truesmart.com.vn/iphone-12-mini/iphone-12-mini-128gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 Mini 64GB Chính Hãng (VN/A),"16,650,000 VNĐ",64 GB,1080 x 2340 pixels,5.4 inches,,,,,,https://www.truesmart.com.vn/iphone-12-mini/iphone-12-mini-64gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 256GB Chính Hãng (VN/A),"23,050,000 VNĐ",256 GB,1170 x 2532 pixels,6.1 inches,,,,,,https://www.truesmart.com.vn/iphone-12/iphone-12-256gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 128GB Chính Hãng (VN/A),"22,050,000 VNĐ",128 GB,1170 x 2532 pixels,6.1 inches,,,,,,https://www.truesmart.com.vn/iphone-12/iphone-12-128gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
iPhone 12 64GB Chính Hãng (VN/A),"20,250,000 VNĐ",64 GB,1170 x 2532 pixels,6.1 inches,,,,,,https://www.truesmart.com.vn/iphone-12/iphone-12-64gb-chinh-hang-vn-a.html,IPHONE,TRUE SMART
