Tên sản phẩm,Giá sản phẩm,Màu,Màn hình,Camera trước,Camera sau,Chip,Ram,Bộ nhớ trong,Thẻ sim,Pin,Hệ điều hành,Link,Loại sản phẩm,Cửa hàng
iPhone 7 32GB (Cũ 99%),3.390.000 VNĐ,Màu Bạc Màu Đen JetBlack Vàng (Gold) Màu Hồng ,"LED-backlit IPS LCD, 4.7"", Retina HD",7 MP,12 MP,Apple A10 Fusion 4 nhân 64-bit,2 GB,32 GB,1 Nano SIM,1960 mAh,IOS,https://www.xtmobile.vn/iphone-7-32gb-quoc-te-likenew-xach-tay,IPHONE,XTMOBILE
iPhone 8 Plus 64GB (Cũ 99%),6.690.000 VNĐ,Màu Xám Vàng (Gold) Màu Bạc Màu Đỏ ,"LED-backlit IPS LCD, 5.5"", Retina HD",7 MP,2 camera 12 MP,Apple A11 Bionic 6 nhân,3 GB,64 GB,1 Nano SIM,2691 mAh,iOS,https://www.xtmobile.vn/iphone-8-plus-64gb-may-cu-99,IPHONE,XTMOBILE
iPhone Xs Max 64GB (Cũ 99%),11.290.000 VNĐ,JetBlack Vàng (Gold) Màu Bạc ,"OLED, 6.5"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,64 GB,1 Nano Sim,3.174 mAh,iOS,https://www.xtmobile.vn/iphone-xs-max-64gb-likenew-99,IPHONE,XTMOBILE
iPhone Xs 64GB (Cũ 99%),8.590.000 VNĐ,JetBlack Vàng (Gold) Màu Bạc ,"OLED, 5.8"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,64 GB,1 Nano Sim,2716 mAh,iOS,https://www.xtmobile.vn/iphone-xs-64gb-likenew-99-,IPHONE,XTMOBILE
iPhone 12 64GB (Cũ 99%),16.890.000 VNĐ,Black Red Blue White Green ,OLED,12MP True Depth,Camera kép 12 + 12MP góc rộng và góc siêu rộng,Apple A14 Bionic,4GB,64GB,1 Nano Sim - 1 eSim,"2,815mAh",iOS 14,https://www.xtmobile.vn/iphone-12-64gb-cu,IPHONE,XTMOBILE
iPhone 11 Pro Max 64GB (Cũ 99%),18.290.000 VNĐ,Màu Đen Xanh rêu Vàng (Gold) Màu Bạc ,"6.5"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3969 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-max-64gb-like-new,IPHONE,XTMOBILE
iPhone X 64GB (Cũ 99%),7.890.000 VNĐ,Màu Bạc Màu Xám ,"OLED, 5.8"", Super Retina",7 MP,2 camera 12 MP,Apple A11 Bionic 6 nhân,3 GB,64 GB,1 Nano Sim,2716 mAh,iOS,https://www.xtmobile.vn/iphone-x-64gb-may-cu-99,IPHONE,XTMOBILE
iPhone 6s 64GB (Cũ 99%),3.190.000 VNĐ,Màu Hồng Màu Xám Vàng (Gold) Màu Bạc ,"LED-backlit IPS LCD, 4.7"", Retina HD",5 MP,12 MP,Apple A9 2 nhân 64-bit,2 GB,64 GB,1 Nano SIM,1715 mAh,IOS,https://www.xtmobile.vn/iphone-6s-64g-99-likenew,IPHONE,XTMOBILE
iPhone 12 Pro Max 128GB (Cũ 99%),25.590.000 VNĐ,Graphite [Than chì] Pacific Blue [Xanh] Gold [Vàng] Silver [Trắng] ,"6.7"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP + LiDAR,Apple A14 Bionic 6 nhân (5nm),6GB LPDDR5,128GB,Nano-Sim,3.687mAh,iOS,https://www.xtmobile.vn/iphone-12-pro-max-128gb-cu,IPHONE,XTMOBILE
iPhone 11 Pro 64GB (Cũ 99%),15.390.000 VNĐ,Màu Đen Xanh rêu Màu Bạc Vàng (Gold) ,"5.8"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3190 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-64gb-like-new,IPHONE,XTMOBILE
iPhone Xs 64GB (Cũ 99%),8.590.000 VNĐ,JetBlack Vàng (Gold) Màu Bạc ,"OLED, 5.8"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,64 GB,1 Nano Sim,2716 mAh,iOS,https://www.xtmobile.vn/iphone-xs-64gb-likenew-99-,IPHONE,XTMOBILE
iPhone 7 Plus 32GB (Cũ 99%),5.390.000 VNĐ,Màu Đen Màu Hồng Màu Bạc Vàng (Gold) ,"LED-backlit IPS LCD, 5.5"", Retina HD",7 MP,2 camera 12 MP,Apple A10 Fusion 4 nhân 64-bit,3 GB,32 GB,1 Nano SIM,2900 mAh,IOS,https://www.xtmobile.vn/iphone-7-plus-32gb-likenew-99,IPHONE,XTMOBILE
iPhone Xs Max 256GB (Cũ 99%),12.790.000 VNĐ,JetBlack Màu Bạc Vàng (Gold) ,"OLED, 6.5"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,256 GB,1 Nano Sim,3.174 mAh,iOS,https://www.xtmobile.vn/iphone-xs-max-256gb-likenew-99,IPHONE,XTMOBILE
