Tên sản phẩm,Giá sản phẩm,CPU,RAM,Bộ nhớ trong,Kích thước màn hình,Độ phân giải màn hình,Pin,Bluetooth,Camera sau,Camera trước,Link,Thể loại sản phẩm,Cửa hàng
iPhone XS 64GB Quốc Tế (Likenew),"8,580,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,64GB,"5.8""",1125 x 2436 pixels,2716 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 12 Pro 256GB,"27,500,000 VNĐ",A14 Bionic 6 nhân,,256GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-256gb,IPHONE,XTSMART
iPhone XS 256GB Quốc Tế (Likenew),"9,680,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,256GB,"5.8""",1125 x 2436 pixels,2716 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-256gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 12 Pro Max 256GB,"30,200,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,256GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-256gb,IPHONE,XTSMART
iPhone 12 64GB,"20,500,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-64gb,IPHONE,XTSMART
iPhone XS Max 64GB Quốc Tế (Likenew),"11,580,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,64GB,"6.5""",1242 x 2688 pixels,"3174 mAh, có sạc nhanh","5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-max-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 8 Plus 64GB Quốc Tế (Likenew),"6,680,000 VNĐ",Apple A11 Bionic 6 nhân,2GB,64GB,"5.5""",Full HD (1080 x 1920 pixels),2691 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-8-plus-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 11 Pro 256GB Quốc Tế (Like New),"16,980,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,256GB,"5.8""",1125 x 2436 Pixels,3190 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-pro-256gb-quoc-te-like-new,IPHONE,XTSMART
iPhone 8 Plus 256GB Quốc Tế (Likenew),"8,680,000 VNĐ",Apple A11 Bionic 6 nhân,2GB,256GB,"5.5""",Full HD (1080 x 1920 pixels),2691 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-8-plus-256gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 11 Pro Max 512GB (Cũ 99%),"22,180,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-11-pro-max-512gb-cu-99,IPHONE,XTSMART
